;CO_IES;NO_IES;SG_IES;SG_UF_IES;NO_CAMPUS;CO_IES_CURSO;NO_CURSO;DS_TURNO;DS_FORMACAO;QT_VAGAS_CONCORRENCIA;NO_MODALIDADE_CONCORRENCIA;ST_BONUS_PERC;QT_BONUS_PERC;NO_ACAO_AFIRMATIVA_BONUS;NU_NOTA_CANDIDATO;NU_NOTACORTE_CONCORRIDA;NU_CLASSIFICACAO;ENSINO_MEDIO;QUILOMBOLA;DEFICIENTE;TIPO_CONCORRENCIA
11;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;658,98;635,54;12;N;N;N;AC
12;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;657,12;635,54;13;N;N;N;AC
13;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;656,44;635,54;14;N;N;N;AC
14;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;655,96;635,54;15;S;N;N;AC
15;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;655,82;635,54;16;N;N;N;AC
16;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;651,72;635,54;17;S;N;N;AC
17;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;650,16;635,54;18;N;N;N;AC
18;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;650,14;635,54;19;N;N;N;AC
19;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;649,44;635,54;20;N;N;N;AC
20;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;648,52;635,54;21;S;N;N;AC
21;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;645,46;635,54;22;N;N;N;AC
22;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;641,62;635,54;23;S;N;N;AC
23;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;638,36;635,54;24;N;N;N;AC
24;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;637,88;635,54;25;N;N;N;AC
25;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;637,76;635,54;26;S;N;N;AC
26;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;637,42;635,54;27;N;N;N;AC
27;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;637,3;635,54;28;N;N;N;AC
28;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;635,88;635,54;29;N;N;N;AC
29;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;30;Ampla concorrência;NÃO;;;635,54;635,54;30;S;N;N;AC
30;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;575,26;527,32;1;S;N;N;LB_PPI 
31;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;568,5;527,32;2;S;N;N;LB_PPI 
32;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;567,28;527,32;3;S;N;N;LB_PPI 
33;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;566,96;527,32;4;S;N;N;LB_PPI 
34;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;560,88;527,32;5;S;N;N;LB_PPI 
35;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;552,84;527,32;6;S;S;N;LB_PPI 
36;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;539,12;527,32;7;S;N;N;LB_PPI 
37;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;538,22;527,32;8;S;N;N;LB_PPI 
38;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;533,6;527,32;9;S;N;N;LB_PPI 
39;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;530,9;527,32;10;S;N;N;LB_PPI 
40;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;527,78;527,32;11;S;N;N;LB_PPI 
41;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;527,32;527,32;12;S;N;N;LB_PPI 
42;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;624,14;580,7;1;S;N;N;LI_PPI 
43;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;608,64;580,7;2;S;N;N;LI_PPI 
44;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;607,34;580,7;3;S;N;N;LI_PPI 
45;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;601,58;580,7;4;S;N;N;LI_PPI 
46;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;598,16;580,7;5;S;N;N;LI_PPI 
47;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;594,56;580,7;6;S;N;N;LI_PPI 
48;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;593,44;580,7;7;S;N;N;LI_PPI 
49;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;591,48;580,7;8;S;N;N;LI_PPI 
50;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;9;Candidatos autodeclarados pretos, pardos ou indígenas, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;580,7;580,7;9;S;N;N;LI_PPI 
51;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;1;Candidatos autodeclarados quilombolas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;528,76;528,76;1;S;S;N;LB_Q   
52;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;2;Candidatos com deficiência, independentemente da renda, que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;455,82;455,82;1;S;N;S;LI_PCD 
53;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;3;Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;613,86;607,84;1;S;N;N;LB_EP  
54;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;3;Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;610,68;607,84;2;S;N;N;LB_EP  
55;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;3;Candidatos com renda familiar bruta per capita igual ou inferior a 1 salário mínimo que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;607,84;607,84;3;S;N;N;LB_EP  
56;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;4;Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;629,42;628,64;1;S;N;N;LI_EP  
57;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;4;Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;629,4;628,64;2;S;N;N;LI_EP  
58;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;4;Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;628,98;628,64;3;S;N;N;LI_EP  
59;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1126514;ADMINISTRAÇÃO;Noturno;Bacharelado;4;Candidatos que, independentemente da renda, tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;628,64;628,64;4;S;N;N;LI_EP  
60;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;732,3;657,44;1;N;N;N;AC
61;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;716,58;657,44;2;N;N;N;AC
62;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;703,86;657,44;3;N;N;N;AC
63;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;699,22;657,44;4;S;N;N;AC
64;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;693,36;657,44;5;S;N;N;AC
65;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;690,76;657,44;6;N;N;N;AC
66;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;686,92;657,44;7;N;N;N;AC
67;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;682,94;657,44;8;N;N;N;AC
68;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;681,4;657,44;9;N;N;N;AC
69;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;680,3;657,44;10;N;N;N;AC
70;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;678,66;657,44;11;S;N;N;AC
71;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;677,86;657,44;12;N;N;N;AC
72;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;677,7;657,44;13;N;N;N;AC
73;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;676,98;657,44;14;N;N;N;AC
74;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;673,62;657,44;15;N;N;N;AC
75;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;673,2;657,44;16;N;N;N;AC
76;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;672,66;657,44;17;S;N;N;AC
77;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;670,84;657,44;18;N;N;N;AC
78;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;663,84;657,44;19;N;N;N;AC
79;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;663,74;657,44;20;N;N;N;AC
80;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;660,86;657,44;21;S;N;N;AC
81;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;22;Ampla concorrência;NÃO;;;657,44;657,44;22;N;N;N;AC
82;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;8;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;586,78;542,78;1;S;N;N;LB_PPI 
83;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;8;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;580,36;542,78;2;S;N;N;LB_PPI 
84;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;8;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;580,28;542,78;3;S;N;N;LB_PPI 
85;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;MG;Campus Florestal;1113139;AGRONOMIA;Integral;Bacharelado;8;Candidatos autodeclarados pretos, pardos ou indígenas, com renda familiar bruta per capita igual ou inferior a 1 salário mínimo e que tenham cursado integralmente o ensino médio em escolas públicas ou em escolas comunitárias que atuam no âmbito da educação do campo conveniadas com o poder público (Lei nº 12.711/2012).;NÃO;;;573,04;542,78;4;S;N;N;LB_PPI 
